lap_distance_m,speed_kph,throttle,brake
2320.0,268.84804282368685,1.0,0.0
2325.0,268.44600081201787,0.9021268101231613,0.18466639599403523
2330.0,267.4309784815266,0.7228061984030343,0.5230071728244636
2335.0,266.41595615103535,0.5434855866829074,0.8613479496548919
2340.0,260.8035609469771,0.40215760125220046,1.0
2345.0,251.99902171786337,0.28720945020543837,1.0
2350.0,243.19448248874966,0.17226129915867627,1.0
2355.0,234.38994325963597,0.05731314811191418,1.0
2360.0,225.61872860991767,0.0,1.0
2365.0,216.88065244302052,0.0,1.0
2370.0,208.14257627612338,0.0,1.0
2375.0,201.66754677993345,0.0,1.0
2380.0,195.86814336792514,0.0,1.0
2385.0,185.40333129850865,0.0,1.0
2390.0,174.93851922909215,0.0,1.0
2395.0,164.2699914015478,0.0,1.0
2400.0,155.5847983906237,0.0,1.0
2405.0,151.21149304644456,0.0,1.0
2410.0,146.9334652041,0.0009980219384999893,0.9833663010250002
2415.0,145.13522747707248,0.027971587843913064,0.5338068692681156
2420.0,143.33698975004492,0.05494515374932614,0.0842474375112311
2425.0,140.89563641072115,0.1441745435711537,0.0
2430.0,139.4216820077099,0.26216820077098957,0.0
2435.0,140.99512233498547,0.4195122334985454,0.0
2440.0,142.568562662261,0.5768562662261012,0.0
2445.0,144.5763183042307,0.6483737294761526,0.0
2450.0,146.74815393970982,0.6874667709147766,0.0
2455.0,149.9490797546012,0.7476822085889565,0.0
2460.0,154.5503067484663,0.8366392638036819,0.0
2465.0,159.15153374233142,0.9255963190184074,0.0
2470.0,163.9631083202514,1.0,0.0
2475.0,169.85007849293567,1.0,0.0
2480.0,174.5392,1.0,0.0
2485.0,178.5392,1.0,0.0
2490.0,181.55245781364638,1.0,0.0
2495.0,183.99804353142582,1.0,0.0
2500.0,188.2273846153847,1.0,0.0
2505.0,192.45815384615392,1.0,0.0
2510.0,195.8937313432836,1.0,0.0
2515.0,198.13253731343286,1.0,0.0
2520.0,200.3713432835821,1.0,0.0
2525.0,203.16757082579872,1.0,0.0
2530.0,206.1814345991562,1.0,0.0
2535.0,209.08163636363645,1.0,0.0
2540.0,211.8089090909092,1.0,0.0
2545.0,214.53618181818192,1.0,0.0
2550.0,217.26345454545464,1.0,0.0
2555.0,219.99072727272736,1.0,0.0
2560.0,221.66100000000006,1.0,0.0
2565.0,223.32766666666672,1.0,0.0
2570.0,224.9943333333334,1.0,0.0
2575.0,226.69136401105567,1.0,0.0
2580.0,228.388498278621,1.0,0.0
2585.0,230.08563254618633,1.0,0.0
2590.0,231.7827668137517,1.0,0.0
2595.0,234.0696857495491,1.0,0.0
2600.0,236.4431785816008,1.0,0.0
2605.0,238.14332661139747,1.0,0.0
2610.0,239.6370901486295,1.0,0.0
2615.0,241.0807001381852,1.0,0.0
2620.0,242.00193459235376,1.0,0.0
2625.0,242.92316904652236,1.0,0.0
2630.0,243.84440350069093,1.0,0.0
2635.0,244.76563795485953,1.0,0.0
2640.0,246.6776167761678,1.0,0.0
2645.0,248.92763927639282,1.0,0.0
2650.0,250.52989116679325,1.0,0.0
2655.0,251.5422930903569,1.0,0.0
2660.0,252.55469501392054,1.0,0.0
2665.0,253.5670969374842,1.0,0.0
2670.0,254.6554073395546,1.0,0.0
2675.0,255.8004236560371,1.0,0.0
2680.0,256.94543997251964,1.0,0.0
2685.0,258.09045628900213,1.0,0.0
2690.0,259.23547260548463,1.0,0.0
2695.0,260.3804889219671,1.0,0.0
2700.0,261.5255052384496,1.0,0.0
2705.0,262.20039696119363,1.0,0.0
2710.0,262.5426048867292,1.0,0.0
2715.0,262.8848128122647,1.0,0.0
2720.0,263.1615448302732,1.0,0.0
2725.0,263.4050552768714,1.0,0.0
2730.0,263.6485657234695,1.0,0.0
2735.0,263.8920761700677,1.0,0.0
2740.0,264.23548318883485,1.0,0.0
